Season,Competition Group,Competition,Week Date,Home Team,Away Team,Home Team Score,Away Team Score,Home Team Badge,Away Team Badge,Fixture Location,Time of Match
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,PHC Chiswick W1,London Wayfarers W2,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Old Cranleighan W1,Surbiton Sparks,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,London Wayfarers W2,Barnes W2,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Tulse Hill & Dulwich W1,Old Cranleighan W1,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Southgate W2,Wimbledon W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Wanderers W1,Surbiton W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,West Hampstead W1,PHC Chiswick W1,7,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Surbiton Sparks,Hampstead & Westminster W3,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Wimbledon W3,Wanderers W1,4,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Surbiton Sparks,Tulse Hill & Dulwich W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Barnes W2,West Hampstead W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,PHC Chiswick W1,Southgate W2,3,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Liverpool Victoria Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Old Cranleighan W1,London Wayfarers W2,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Hampstead & Westminster W3,Surbiton W3,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Mill Hill School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,West Hampstead W1,Old Cranleighan W1,4,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,London Wayfarers W2,Surbiton Sparks,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Tulse Hill & Dulwich W1,Hampstead & Westminster W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Wanderers W1,PHC Chiswick W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Surbiton W3,Wimbledon W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Southgate W2,Barnes W2,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Barnes W2,Wanderers W1,5,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Tulse Hill & Dulwich W1,London Wayfarers W2,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,West Hampstead W1,Surbiton Sparks,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,PHC Chiswick W1,Surbiton W3,0,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Hampstead & Westminster W3,Wimbledon W3,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Paddington Recreation Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Old Cranleighan W1,Southgate W2,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Wimbledon W3,PHC Chiswick W1,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,West Hampstead W1,Tulse Hill & Dulwich W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,London Wayfarers W2,Hampstead & Westminster W3,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Wanderers W1,Old Cranleighan W1,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Kennington Park,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Surbiton W3,Barnes W2,1,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Surbiton High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Southgate W2,Surbiton Sparks,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-18,West Hampstead W1,London Wayfarers W2,0,6,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-18,Wanderers W1,Surbiton Sparks,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-18,PHC Chiswick W1,Hampstead & Westminster W3,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-18,Southgate W2,Tulse Hill & Dulwich W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-18,Wimbledon W3,Barnes W2,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-18,Surbiton W3,Old Cranleighan W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-25,London Wayfarers W2,Southgate W2,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-25,Tulse Hill & Dulwich W1,Wanderers W1,7,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-25,Surbiton Sparks,Surbiton W3,5,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-25,Barnes W2,PHC Chiswick W1,5,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-25,Hampstead & Westminster W3,West Hampstead W1,4,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Mill Hill School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-01-25,Old Cranleighan W1,Wimbledon W3,0,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-01,Hampstead & Westminster W3,Barnes W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Paddington Recreation Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-01,Wanderers W1,London Wayfarers W2,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Kennington Park,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-01,Surbiton W3,Tulse Hill & Dulwich W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-01,West Hampstead W1,Southgate W2,0,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-01,Surbiton Sparks,Wimbledon W3,5,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-01,PHC Chiswick W1,Old Cranleighan W1,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-08,West Hampstead W1,Wanderers W1,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-08,Tulse Hill & Dulwich W1,Wimbledon W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-08,London Wayfarers W2,Surbiton W3,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-08,Surbiton Sparks,PHC Chiswick W1,6,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-08,Southgate W2,Hampstead & Westminster W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-08,Old Cranleighan W1,Barnes W2,3,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-22,Hampstead & Westminster W3,Old Cranleighan W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Paddington Recreation Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-22,Surbiton W3,West Hampstead W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-22,Barnes W2,Surbiton Sparks,6,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-22,Wimbledon W3,London Wayfarers W2,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-22,PHC Chiswick W1,Tulse Hill & Dulwich W1,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-02-22,Wanderers W1,Southgate W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-01,London Wayfarers W2,PHC Chiswick W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-01,Wanderers W1,Hampstead & Westminster W3,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Kennington Park,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-01,West Hampstead W1,Wimbledon W3,5,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-01,Tulse Hill & Dulwich W1,Barnes W2,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-01,Surbiton Sparks,Old Cranleighan W1,6,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-01,Southgate W2,Surbiton W3,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-08,Barnes W2,London Wayfarers W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-08,Surbiton W3,Wanderers W1,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-08,Wimbledon W3,Southgate W2,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-08,Old Cranleighan W1,Tulse Hill & Dulwich W1,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-08,PHC Chiswick W1,West Hampstead W1,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-08,Hampstead & Westminster W3,Surbiton Sparks,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Mill Hill School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-22,Barnes W2,Southgate W2,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Dukes Meadow pitch,11:30
