Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,London Wayfarers W2,0.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Southgate Hockey Centre Pitch 1,Completed,Away,London Wayfarers W2,Southgate W2,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Latymer Upper School,Completed,Home,PHC Chiswick W1,Barnes W2,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Latymer Upper School,Completed,Away,Barnes W2,PHC Chiswick W1,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Dukes Meadow pitch,Completed,Home,Barnes W2,Hampstead & Westminster W3,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Dukes Meadow pitch,Completed,Away,Hampstead & Westminster W3,Barnes W2,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,Surbiton W3,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Alleyns School,Completed,Away,Surbiton W3,Tulse Hill & Dulwich W1,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,West Hampstead W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Southgate Hockey Centre Pitch 1,Completed,Away,West Hampstead W1,Southgate W2,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Old Cranleighan Sports Club,Completed,Home,Old Cranleighan W1,PHC Chiswick W1,3.0,3.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Old Cranleighan Sports Club,Completed,Away,PHC Chiswick W1,Old Cranleighan W1,3.0,3.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Raynes Park High School,Completed,Home,Wimbledon W3,Surbiton Sparks,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Raynes Park High School,Completed,Away,Surbiton Sparks,Wimbledon W3,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Kings House Sports Ground,Completed,Home,London Wayfarers W2,Wanderers W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Kings House Sports Ground,Completed,Away,Wanderers W1,London Wayfarers W2,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Surbiton HC - Pitch 2,Completed,Home,Surbiton W3,London Wayfarers W2,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Surbiton HC - Pitch 2,Completed,Away,London Wayfarers W2,Surbiton W3,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Raynes Park High School,Completed,Home,Wimbledon W3,Tulse Hill & Dulwich W1,1.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Raynes Park High School,Completed,Away,Tulse Hill & Dulwich W1,Wimbledon W3,4.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Dukes Meadow pitch,Completed,Home,Barnes W2,Old Cranleighan W1,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Dukes Meadow pitch,Completed,Away,Old Cranleighan W1,Barnes W2,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Kennington Park,Completed,Home,Wanderers W1,West Hampstead W1,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Kennington Park,Completed,Away,West Hampstead W1,Wanderers W1,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Paddington Recreation Ground,Completed,Home,Hampstead & Westminster W3,Southgate W2,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Paddington Recreation Ground,Completed,Away,Southgate W2,Hampstead & Westminster W3,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Latymer Upper School,Completed,Home,PHC Chiswick W1,Surbiton Sparks,2.0,3.0,Loss
